epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,399.961,1.13148,0.67438,1.32771,0.8311,0.7436,0.78062,0.40228,1.82304,0.92927,1.90245,0.0003763,0.0003763,0.0003763
65,406.169,1.08347,0.76116,1.35002,0.87267,0.74034,0.80207,0.40972,1.7469,0.90592,1.81288,0.0003664,0.0003664,0.0003664
66,412.409,1.27598,0.73572,1.48065,0.8706,0.76963,0.81073,0.43872,1.61619,0.85782,1.6678,0.0003565,0.0003565,0.0003565
67,418.562,1.18206,0.68764,1.35383,0.83431,0.80857,0.82802,0.44163,1.61896,0.83042,1.66655,0.0003466,0.0003466,0.0003466
68,424.787,1.31168,0.74248,1.58281,0.8187,0.80321,0.79771,0.41965,1.72745,0.84035,1.76007,0.0003367,0.0003367,0.0003367
69,430.978,1.21911,0.70769,1.34329,0.79467,0.7934,0.77575,0.45785,1.53148,0.81449,1.61236,0.0003268,0.0003268,0.0003268
70,437.317,1.07174,0.63094,1.30663,0.76272,0.78247,0.74792,0.43305,1.66603,0.83528,1.73281,0.0003169,0.0003169,0.0003169
71,443.486,1.30766,0.76356,1.66913,0.77804,0.79202,0.77134,0.40004,1.80472,0.90441,1.8434,0.000307,0.000307,0.000307
72,449.627,1.11231,0.64612,1.29247,0.79538,0.79202,0.7842,0.39822,1.74093,0.85494,1.81452,0.0002971,0.0002971,0.0002971
73,455.828,1.18823,0.73859,1.43575,0.79963,0.78792,0.79287,0.37496,1.83534,0.86899,1.88999,0.0002872,0.0002872,0.0002872
74,461.978,1.193,0.67354,1.35892,0.8368,0.79501,0.81721,0.38375,1.83571,0.83666,1.90079,0.0002773,0.0002773,0.0002773
75,467.991,1.07383,0.67456,1.32541,0.78772,0.81366,0.81608,0.41254,1.67237,0.80141,1.74727,0.0002674,0.0002674,0.0002674
76,474.304,1.09471,0.62665,1.31734,0.78121,0.82776,0.79206,0.40582,1.68237,0.8247,1.74769,0.0002575,0.0002575,0.0002575
77,480.326,1.12292,0.84888,1.42558,0.84659,0.7647,0.81936,0.41402,1.64826,0.84265,1.71946,0.0002476,0.0002476,0.0002476
78,486.457,1.07208,0.64083,1.286,0.86391,0.75758,0.78125,0.44361,1.53388,0.81227,1.62906,0.0002377,0.0002377,0.0002377
79,492.693,1.07639,0.69676,1.28064,0.86354,0.7647,0.80138,0.4506,1.57064,0.81428,1.65702,0.0002278,0.0002278,0.0002278
80,498.881,1.05254,0.6108,1.31775,0.9081,0.78311,0.81173,0.44683,1.614,0.85127,1.6863,0.0002179,0.0002179,0.0002179
81,504.997,1.15317,0.70456,1.43989,0.89207,0.77043,0.80985,0.45377,1.56257,0.84958,1.64772,0.000208,0.000208,0.000208
82,511.288,1.18674,0.77536,1.38686,0.79834,0.84999,0.81151,0.43635,1.59691,0.86395,1.66875,0.0001981,0.0001981,0.0001981
83,517.327,1.07577,0.61819,1.35256,0.87797,0.78844,0.7906,0.42354,1.61466,0.87294,1.68534,0.0001882,0.0001882,0.0001882
84,523.568,0.96655,0.57149,1.26619,0.87392,0.80641,0.82355,0.44608,1.5857,0.84623,1.67246,0.0001783,0.0001783,0.0001783
85,529.744,1.12792,0.71441,1.41516,0.86526,0.80651,0.82919,0.44112,1.64083,0.81213,1.73798,0.0001684,0.0001684,0.0001684
86,535.9,1.09515,0.62264,1.28582,0.88506,0.80651,0.8269,0.44814,1.61128,0.79621,1.70269,0.0001585,0.0001585,0.0001585
87,542.071,1.03882,0.5633,1.20767,0.8373,0.84573,0.82884,0.46646,1.60244,0.80384,1.70951,0.0001486,0.0001486,0.0001486
88,548.433,0.98493,0.61765,1.28298,0.87609,0.81473,0.84534,0.47774,1.5695,0.79718,1.69114,0.0001387,0.0001387,0.0001387
89,554.703,0.9729,0.59317,1.23656,0.87688,0.81933,0.84685,0.47544,1.58545,0.78547,1.71256,0.0001288,0.0001288,0.0001288
90,560.941,1.10387,0.70121,1.33659,0.85442,0.79034,0.82879,0.46248,1.60975,0.76257,1.73204,0.0001189,0.0001189,0.0001189
91,573.117,1.02684,0.60534,1.38467,0.77336,0.8718,0.82278,0.46654,1.59176,0.75497,1.71988,0.000109,0.000109,0.000109
92,579.707,0.89607,0.52255,1.22242,0.85083,0.79034,0.81562,0.46608,1.56589,0.74888,1.69241,9.91e-05,9.91e-05,9.91e-05
93,586.084,1.17173,0.55325,1.32474,0.77696,0.82775,0.79857,0.47029,1.52669,0.73745,1.66017,8.92e-05,8.92e-05,8.92e-05
94,592.336,0.94946,0.48616,1.26736,0.79911,0.79202,0.79187,0.46209,1.50323,0.74015,1.64069,7.93e-05,7.93e-05,7.93e-05
95,598.417,0.88213,0.46895,1.19513,0.84091,0.79202,0.79222,0.46557,1.50191,0.75709,1.63407,6.94e-05,6.94e-05,6.94e-05
96,604.447,0.91262,0.47586,1.2904,0.77629,0.821,0.79049,0.47224,1.46978,0.75994,1.60692,5.95e-05,5.95e-05,5.95e-05
97,610.352,0.95176,0.48138,1.28162,0.76129,0.84999,0.79333,0.46898,1.46796,0.77164,1.60764,4.96e-05,4.96e-05,4.96e-05
98,616.406,0.96562,0.49236,1.25083,0.84081,0.79202,0.80313,0.4692,1.47807,0.76952,1.62447,3.97e-05,3.97e-05,3.97e-05
99,622.335,0.98998,0.48223,1.30176,0.84102,0.79202,0.80624,0.47018,1.47067,0.77163,1.62549,2.98e-05,2.98e-05,2.98e-05
100,628.254,0.84462,0.46451,1.2833,0.80136,0.83324,0.80156,0.47341,1.46073,0.77377,1.61883,1.99e-05,1.99e-05,1.99e-05
